pred_01.png; Dice 0.8231103417281156; clDice 0.8575779567997294; 0-dim Betti 0.9861111111111112
pred_02.png; Dice 0.8431542080042205; clDice 0.8436442151579421; 0-dim Betti 0.7916666666666666
pred_03.png; Dice 0.7756618671620994; clDice 0.7645023211780266; 0-dim Betti 1.0138888888888888
pred_04.png; Dice 0.8204847510391188; clDice 0.7891483099200466; 0-dim Betti 0.8333333333333334
pred_05.png; Dice 0.7982942132582974; clDice 0.7717287726483403; 0-dim Betti 0.8888888888888888
pred_06.png; Dice 0.7855721734357849; clDice 0.7551365007932124; 0-dim Betti 0.7777777777777778
pred_07.png; Dice 0.8095431651497746; clDice 0.7874275820020998; 0-dim Betti 0.9583333333333334
pred_08.png; Dice 0.7979168942787429; clDice 0.7813307984667419; 0-dim Betti 0.7222222222222222
pred_09.png; Dice 0.7890039417519351; clDice 0.7833752119753498; 0-dim Betti 0.5555555555555556
pred_10.png; Dice 0.8041847391053445; clDice 0.7748051013123332; 0-dim Betti 0.875
pred_11.png; Dice 0.8070104208959263; clDice 0.771655527999743; 0-dim Betti 0.8055555555555556
pred_12.png; Dice 0.8150979455327282; clDice 0.8304067659424358; 0-dim Betti 0.7916666666666666
pred_13.png; Dice 0.8133588281047446; clDice 0.788021016345798; 0-dim Betti 0.9027777777777778
pred_14.png; Dice 0.8133242789234784; clDice 0.8235372094074637; 0-dim Betti 0.8611111111111112
pred_15.png; Dice 0.7930659603486786; clDice 0.8233913602771201; 0-dim Betti 0.9722222222222222
pred_16.png; Dice 0.827125636126938; clDice 0.874722284564109; 0-dim Betti 0.7222222222222222
pred_17.png; Dice 0.8024158437853159; clDice 0.8327100257172283; 0-dim Betti 0.8055555555555556
pred_18.png; Dice 0.8100651102557646; clDice 0.8685193000877974; 0-dim Betti 0.4583333333333333
pred_19.png; Dice 0.8381829744083323; clDice 0.8757001176103149; 0-dim Betti 0.6944444444444444
pred_20.png; Dice 0.7976947387990333; clDice 0.8532815866946931; 0-dim Betti 0.8333333333333334

Average:
dice: 0.8082134016047187
cldice: 0.8125310982450262
0betti: 0.8125
